Item;Condition;ID;MD5 hash of participant's IP address;Original_Value;Changed_Value;IsQuestionable;Discussion_ML;Discussion_TL;Discussion_BD
;A;15852;9f8736428d68ef86c654e1f0f0b1058e;rap;;FALSE;;rap;/
;B;1553;2817aa3ba5ce3496c4222adb7a6aa37c;rap.;;FALSE;;rap;/
;B;7282;83d8403f227baca0464166c404dc0dc2;rap;;FALSE;;rap;/
;B;12208;14399e53229004f2c85ec3810d5cf776;Prepare for the event;;FALSE;;prepare;prepare
;C;2646;9a8edf1b84fcdd4e9692881d31a5a26e;prepare for the show;;FALSE;I believe C/D didn't have low probability :/;prepare;prepare
;C;4281;559a558cc071b904f807f21b428370da;rap.;;FALSE;;rap;/
;C;8365;6df37ff0405e34325f86235ab8e45b66;sing;rap;FALSE;;sing;/
;C;9182;3028e7887ad94e66d4f5fe907c30cc88;when the beat dropped;;TRUE;;;/
;D;356;b8b10c5c32c46a8f278dc868ef65fd9d;rap;;FALSE;;rap;/
;D;5274;38515a2d399231bb4340622c162d7b1a;rapper;rap;TRUE;;rap;rap
;D;6091;bac07a9a07d31bd971ed4288f10499d6;spit rhymes ;rap;FALSE;;;rap
;D;11008;4f1511992b86c3d28f958bcbf4d56511;The rapper in the studio%2C as the beat dropped began too ;;TRUE;;;/
;D;13469;773048bc5ea832a6a6fb93f6da578bc6;rap;;FALSE;;;/
;D;15106;bc3b5c51f98f643be9a99134572a2170;rap;;FALSE;;;/
5;A;1015;2817aa3ba5ce3496c4222adb7a6aa37c;stop to drink some water.;drink water;FALSE;;drink water;drink
;A;6744;83d8403f227baca0464166c404dc0dc2;have a drink;drink water;FALSE;;drink water;drink
;A;11668;14399e53229004f2c85ec3810d5cf776;Give him water ;drink water;FALSE;;drink water;drink
;B;2853;9a8edf1b84fcdd4e9692881d31a5a26e;drink more water;drink water;FALSE;;drink water;drink
;B;4487;559a558cc071b904f807f21b428370da;stop for a drink of water.;drink water;FALSE;;drink water;drink
;B;8571;6df37ff0405e34325f86235ab8e45b66;drink water;;FALSE;;;drink
;B;9389;3028e7887ad94e66d4f5fe907c30cc88;the athletes on the track seems thirsty;;TRUE;;;/
;C;709;b8b10c5c32c46a8f278dc868ef65fd9d;engage;;FALSE;??;;/
;C;5620;38515a2d399231bb4340622c162d7b1a;taxi;;TRUE;;;
;C;6438;bac07a9a07d31bd971ed4288f10499d6;take a drink of water;drink water;FALSE;;drink water;drink
;C;11361;4f1511992b86c3d28f958bcbf4d56511;Because he was thirsty%2C the athlete in the cab decides to;;TRUE;;;/
;C;13815;773048bc5ea832a6a6fb93f6da578bc6;drink water;;FALSE;;drink water;drink
;C;15453;bc3b5c51f98f643be9a99134572a2170;grab some water;drink water;FALSE;;;drink
;D;2451;2b7058890eefa22341aa295a036985a9;drive;;FALSE;;drive;/
;D;4086;58538dcb3f84e420200c601a4903dbef;stop and get something to drink;stop and drink;FALSE;;stop and drink;drink
;D;8170;61f3559549de508d322e493e3c8fe90c;The athlete in the stadium;;TRUE;;;/
;D;10631;64e64662aa8b1a57c3e5254b48652bcc;buy water;;FALSE;;buy water;buy
;D;13096;8e6ad748c0685eaeffbadbae0050306d;drink;;FALSE;;drink water;/
;D;14731;46c4212ded545ed717b0ff376752ae11;ask for a drink;;FALSE;;drink water;drink
;D;16373;9f8736428d68ef86c654e1f0f0b1058e;stop for a drink;stop and drink;FALSE;;stop and drink;drink
6;A;2657;9a8edf1b84fcdd4e9692881d31a5a26e;prepare for the evening;;FALSE;;prepare;prepare
;A;4292;559a558cc071b904f807f21b428370da;begin to peel and chop them.;peel and chop;FALSE;;peel;peel
;A;8376;6df37ff0405e34325f86235ab8e45b66;peel them;;FALSE;;peel;peel
;A;9193;3028e7887ad94e66d4f5fe907c30cc88;after the potatoes were delivered;;TRUE;;;/
;B;318;b8b10c5c32c46a8f278dc868ef65fd9d;extreme;;TRUE;;;/
;B;5236;38515a2d399231bb4340622c162d7b1a;had;;TRUE;;;/
;B;6053;bac07a9a07d31bd971ed4288f10499d6;peel and prep them;peel and prepare them;FALSE;;peel;peel
;B;10970;4f1511992b86c3d28f958bcbf4d56511;the cook in the kitchen%2C after the potatoes were delivered had to ;;TRUE;;;/
;B;13431;773048bc5ea832a6a6fb93f6da578bc6;make preparations;prepare;FALSE;;prepare;prepare
;B;15067;bc3b5c51f98f643be9a99134572a2170;bring them in;;FALSE;;;bring
;C;1698;2b7058890eefa22341aa295a036985a9;stop;;FALSE;;;stop
;C;3342;58538dcb3f84e420200c601a4903dbef;pull up more potatoes;;FALSE;;;pull up
;C;7427;61f3559549de508d322e493e3c8fe90c;fter the potatoes were cook the cook in  the garden;;TRUE;;;/
;C;9877;64e64662aa8b1a57c3e5254b48652bcc;cook;;FALSE;;;/
;C;12353;8e6ad748c0685eaeffbadbae0050306d;return;;FALSE;;;/
;C;13986;46c4212ded545ed717b0ff376752ae11;cut them;;FALSE;;cut;cut
;C;15625;9f8736428d68ef86c654e1f0f0b1058e;pick fresh produce;pick fresh products;FALSE;;;pick
;D;1367;2817aa3ba5ce3496c4222adb7a6aa37c;check the rest of the vegetables. ;;FALSE;;;check
;D;7096;83d8403f227baca0464166c404dc0dc2;peel them;;FALSE;;peel;peel
;D;12022;14399e53229004f2c85ec3810d5cf776;Must go to the resturant;go to the restaurant;TRUE;;;go
7;A;629;b8b10c5c32c46a8f278dc868ef65fd9d;cool;;FALSE;;;/
;A;5542;38515a2d399231bb4340622c162d7b1a;front;;TRUE;;;/
;A;6360;bac07a9a07d31bd971ed4288f10499d6;start screaming with excitement;scream;FALSE;;scream;scream
;A;11281;4f1511992b86c3d28f958bcbf4d56511;s the lights dimmed%2C the fan in the front row starts to ;;TRUE;;;/
;A;13737;773048bc5ea832a6a6fb93f6da578bc6;shine;;FALSE;;;/
;A;15375;bc3b5c51f98f643be9a99134572a2170;sit down;;FALSE;;;sit
;B;1667;2b7058890eefa22341aa295a036985a9;scream;;FALSE;;scream;/
;B;3311;58538dcb3f84e420200c601a4903dbef;be screaming;;FALSE;;scream;scream
;B;7396;61f3559549de508d322e493e3c8fe90c;The fan in the front row as the light are dimmed;;TRUE;;;/
;B;9846;64e64662aa8b1a57c3e5254b48652bcc;shout;scream;FALSE;;scream;/
;B;12321;8e6ad748c0685eaeffbadbae0050306d;cheer;;FALSE;;scream;/
;B;13955;46c4212ded545ed717b0ff376752ae11;scream;;FALSE;;scream;/
;B;15594;9f8736428d68ef86c654e1f0f0b1058e;shout excitingly;scream;FALSE;;scream;shout
;C;1613;2817aa3ba5ce3496c4222adb7a6aa37c;pushed around.;;TRUE;;;push
;C;7342;83d8403f227baca0464166c404dc0dc2;try to get there fast;;FALSE;;;try
;C;12268;14399e53229004f2c85ec3810d5cf776;Continue;;FALSE;;;/
;D;3069;9a8edf1b84fcdd4e9692881d31a5a26e;the rock concert started to play;;TRUE;;;/
;D;4702;559a558cc071b904f807f21b428370da;be frustrated and worry about missing the start of the show.;get frustrated;FALSE;;be frustrated;be frustrated
;D;8786;6df37ff0405e34325f86235ab8e45b66;get frustrated;;FALSE;;be frustrated;be frustrated
;D;9604;3028e7887ad94e66d4f5fe907c30cc88;in traffic;;TRUE;;;sit 
8;A;1888;2b7058890eefa22341aa295a036985a9;sit down;;FALSE;;;step
;A;3530;58538dcb3f84e420200c601a4903dbef;step backwards ;;FALSE;;;/
;A;7615;61f3559549de508d322e493e3c8fe90c;s the train arrived the;;TRUE;;;/
;A;10069;64e64662aa8b1a57c3e5254b48652bcc;alight;;TRUE;?;;
;A;12541;8e6ad748c0685eaeffbadbae0050306d;enter;;FALSE;;;/
;A;14175;46c4212ded545ed717b0ff376752ae11;prepare;;FALSE;;;/
;A;15814;9f8736428d68ef86c654e1f0f0b1058e;get their bags ready;get ready;FALSE;maybe?;get ready;get ready
;B;1502;2817aa3ba5ce3496c4222adb7a6aa37c;grab their items.;;FALSE;;grab;grab
;B;7231;83d8403f227baca0464166c404dc0dc2;get ready to haul his suitcase;get ready;FALSE;;get ready;get ready
;B;12157;14399e53229004f2c85ec3810d5cf776;Must be ready to the the bus;get ready;TRUE;why the bus????;get ready;get ready
;C;2491;9a8edf1b84fcdd4e9692881d31a5a26e;be ready for the train;get ready;FALSE;;get ready;get ready
;C;4126;559a558cc071b904f807f21b428370da;run to make his train on time.;;FALSE;;run;run
;C;8210;6df37ff0405e34325f86235ab8e45b66;leave;;FALSE;;leave;/
;C;9027;3028e7887ad94e66d4f5fe907c30cc88;as the traveler readies;get ready;TRUE;this is so sus;;/
;D;514;b8b10c5c32c46a8f278dc868ef65fd9d;fire ;;FALSE;?;;/
;D;5429;38515a2d399231bb4340622c162d7b1a;train;;TRUE;;;/
;D;6247;bac07a9a07d31bd971ed4288f10499d6;hurry;;FALSE;;;/
;D;11165;4f1511992b86c3d28f958bcbf4d56511;The ?? in the?? as the ?? arrives had to;;TRUE;;;/
;D;13624;773048bc5ea832a6a6fb93f6da578bc6;more;;TRUE;;;/
;D;15262;bc3b5c51f98f643be9a99134572a2170;braod;board;FALSE;maybe?;board;board
9;A;1082;2817aa3ba5ce3496c4222adb7a6aa37c;rush to class.;;FALSE;;rush;rush
;A;6811;83d8403f227baca0464166c404dc0dc2;use the bathroom;;FALSE;;;use
;A;11735;14399e53229004f2c85ec3810d5cf776;Go on a break;;FALSE;;;go
;B;2902;9a8edf1b84fcdd4e9692881d31a5a26e;get ready for class;;FALSE;;get ready;get ready
;B;4536;559a558cc071b904f807f21b428370da;run to make it to class on time.;;FALSE;;run;run
;B;8620;6df37ff0405e34325f86235ab8e45b66;come inside;;FALSE;;enter;enter
;B;9438;3028e7887ad94e66d4f5fe907c30cc88;as the bell rings;;TRUE;;;/
;C;729;b8b10c5c32c46a8f278dc868ef65fd9d;sleep;;FALSE;;;/
;C;5640;38515a2d399231bb4340622c162d7b1a;had;;TRUE;;;/
;C;6459;bac07a9a07d31bd971ed4288f10499d6;head back inside;;FALSE;;come back;come back
;C;11381;4f1511992b86c3d28f958bcbf4d56511;Once the bell rings%2C the student on the playground had to;;TRUE;;;/
;C;13835;773048bc5ea832a6a6fb93f6da578bc6;leave;;FALSE;;leave;/
;C;15473;bc3b5c51f98f643be9a99134572a2170;go home;leave;FALSE;;go home;go home
;D;1897;2b7058890eefa22341aa295a036985a9;return to class;return;FALSE;;come back;come back
;D;3539;58538dcb3f84e420200c601a4903dbef;run inside;return;FALSE;maybe?;come back;run
;D;7624;61f3559549de508d322e493e3c8fe90c;The student on the playing ground as ;;TRUE;;;/
;D;10078;64e64662aa8b1a57c3e5254b48652bcc;stop playing;;FALSE;;stop playing;stop
;D;12550;8e6ad748c0685eaeffbadbae0050306d;return;;FALSE;;come back;come back
;D;14184;46c4212ded545ed717b0ff376752ae11;gather the students;;FALSE;;;gather
;D;15823;9f8736428d68ef86c654e1f0f0b1058e;get to class;;FALSE;;;enter
10;A;2593;9a8edf1b84fcdd4e9692881d31a5a26e;prepare for the meeting.;;FALSE;;prepare;prepare
;A;4228;559a558cc071b904f807f21b428370da;prepare their presentation and for any questions others in the meeting might have.;prepare for the meeting.;FALSE;;prepare;prepare
;A;8312;6df37ff0405e34325f86235ab8e45b66;speak;;FALSE;;;/
;A;9129;3028e7887ad94e66d4f5fe907c30cc88;as the manager is in the conference room;;TRUE;;;/
;B;296;b8b10c5c32c46a8f278dc868ef65fd9d;presen;present;FALSE;;present;present
;B;5214;38515a2d399231bb4340622c162d7b1a;starts;begin;FALSE;;start;start
;B;6031;bac07a9a07d31bd971ed4288f10499d6;get his presentation ready;prepare presentation;FALSE;;prepare;prepare
;B;10947;4f1511992b86c3d28f958bcbf4d56511;The manager in the conference room%2C as the meeting must start had to;;TRUE;;;/
;B;13409;773048bc5ea832a6a6fb93f6da578bc6;be seated;;FALSE;;sit;sit
;B;15045;bc3b5c51f98f643be9a99134572a2170;begin;;FALSE;;start;/
;C;2139;2b7058890eefa22341aa295a036985a9;run;hurry up;FALSE;;;/
;C;3779;58538dcb3f84e420200c601a4903dbef;hurry off the subway to the meeting;hurry up;FALSE;;hurry;hurry
;C;7864;61f3559549de508d322e493e3c8fe90c;s the meeting started the ;;TRUE;;;/
;C;10323;64e64662aa8b1a57c3e5254b48652bcc;keep quiet;;FALSE;;;be quiet
;C;12790;8e6ad748c0685eaeffbadbae0050306d;travel;;FALSE;;;/
;C;14425;46c4212ded545ed717b0ff376752ae11;decide next steps;;FALSE;;;decide
;C;16066;9f8736428d68ef86c654e1f0f0b1058e;hurry up;;FALSE;;hurry;hurry
;D;1376;2817aa3ba5ce3496c4222adb7a6aa37c;begin his speech.;;FALSE;;start;begin
;D;7105;83d8403f227baca0464166c404dc0dc2;do his job;;FALSE;;;do
;D;12031;14399e53229004f2c85ec3810d5cf776;Must be prepared well;prepare for the meeting.;FALSE;;prepare;prepare
11;A;327;b8b10c5c32c46a8f278dc868ef65fd9d;engage;;FALSE;;;/
;A;5245;38515a2d399231bb4340622c162d7b1a;camera;;TRUE;;;/
;A;6062;bac07a9a07d31bd971ed4288f10499d6;perform;;FALSE;;;/
;A;10979;4f1511992b86c3d28f958bcbf4d56511;s the camera rolls%2C the after on the set must ;;TRUE;;;/
;A;13440;773048bc5ea832a6a6fb93f6da578bc6;set up;;FALSE;;;/
;A;15076;bc3b5c51f98f643be9a99134572a2170;begin to act;perform;FALSE;;act;act
;B;1687;2b7058890eefa22341aa295a036985a9;record;;FALSE;;;/
;B;3331;58538dcb3f84e420200c601a4903dbef;capture the moment;record;FALSE;maybe?;take a picture;capture
;B;7416;61f3559549de508d322e493e3c8fe90c;The actor on the set as the camera roll;;TRUE;;;/
;B;9866;64e64662aa8b1a57c3e5254b48652bcc;talk;;FALSE;;;/
;B;12342;8e6ad748c0685eaeffbadbae0050306d;peform;perform;FALSE;;;/
;B;13975;46c4212ded545ed717b0ff376752ae11;prepare;;FALSE;;;/
;B;15614;9f8736428d68ef86c654e1f0f0b1058e;get into character;;FALSE;;;embody
;C;1511;2817aa3ba5ce3496c4222adb7a6aa37c;take the picture.;;FALSE;;take a picture;shoot
;C;7240;83d8403f227baca0464166c404dc0dc2;get ready to act;;FALSE;;;act
;C;12166;14399e53229004f2c85ec3810d5cf776;Start;;FALSE;;;start
;D;2724;9a8edf1b84fcdd4e9692881d31a5a26e;set up the shoot;;FALSE;;set up;prepare
;D;4359;559a558cc071b904f807f21b428370da;wonder why he is behind the camera instead of in front of it.;;TRUE;;;wonder
;D;8443;6df37ff0405e34325f86235ab8e45b66;act;;FALSE;;;act
;D;9261;3028e7887ad94e66d4f5fe907c30cc88;as the camera rolls;;TRUE;;;/
12;A;2310;2b7058890eefa22341aa295a036985a9;dribble;;FALSE;;;/
;A;3946;58538dcb3f84e420200c601a4903dbef;take a shot;;FALSE;;shoot;shoot
;A;8030;61f3559549de508d322e493e3c8fe90c;s soon as the game begin;;TRUE;;;/
;A;10490;64e64662aa8b1a57c3e5254b48652bcc;start playing;play;FALSE;;play;play
;A;12956;8e6ad748c0685eaeffbadbae0050306d;hustle;;FALSE;;;/
;A;14591;46c4212ded545ed717b0ff376752ae11;play the game;play;FALSE;;play;play
;A;16233;9f8736428d68ef86c654e1f0f0b1058e;serve;;FALSE;;serve;/
;B;886;2817aa3ba5ce3496c4222adb7a6aa37c;serve the ball.;serve;FALSE;;serve;serve
;B;6615;83d8403f227baca0464166c404dc0dc2;get in the zone;;FALSE;;;get in
;B;11539;14399e53229004f2c85ec3810d5cf776;Start;;FALSE;;;/
;C;2882;9a8edf1b84fcdd4e9692881d31a5a26e;be ready for the competition;get ready;FALSE;;be ready;be ready
;C;4516;559a558cc071b904f807f21b428370da;panic and need to hurry to the field.;hurry;FALSE;;panic and hurry;hurry
;C;8600;6df37ff0405e34325f86235ab8e45b66;run;hurry;FALSE;;;/
;C;9418;3028e7887ad94e66d4f5fe907c30cc88;as soon as the game begins;;TRUE;;;/
;D;700;b8b10c5c32c46a8f278dc868ef65fd9d;attention;;TRUE;;pay attention;/
;D;5611;38515a2d399231bb4340622c162d7b1a;game;;FALSE;what?;;/
;D;6429;bac07a9a07d31bd971ed4288f10499d6;have to wait to eat;;FALSE;;wait to eat;wait
;D;11352;4f1511992b86c3d28f958bcbf4d56511;The player at the food stand%2C as soon as the game begins will;;TRUE;;;/
;D;13806;773048bc5ea832a6a6fb93f6da578bc6;play;;FALSE;;play;/
;D;15444;bc3b5c51f98f643be9a99134572a2170;play;;FALSE;;play;/
13;A;1292;2817aa3ba5ce3496c4222adb7a6aa37c;wait until the weather cleared.;wait;FALSE;;wait;wait
;A;7021;83d8403f227baca0464166c404dc0dc2;wait for the weather to clear up;wait;FALSE;;wait;wait
;A;11946;14399e53229004f2c85ec3810d5cf776;Take the order;;FALSE;;;take
;B;2626;9a8edf1b84fcdd4e9692881d31a5a26e;wait for the coach;wait;FALSE;;wait;wait
;B;4261;559a558cc071b904f807f21b428370da;wear jackets and sweaters over their uniforms to go outside.;get ready to go outside;FALSE;maybe?;;wear
;B;8345;6df37ff0405e34325f86235ab8e45b66;change;;FALSE;;change;/
;B;9162;3028e7887ad94e66d4f5fe907c30cc88;in the locker room;;TRUE;;;/
;C;670;b8b10c5c32c46a8f278dc868ef65fd9d;targeted;;TRUE;?;target;target
;C;5582;38515a2d399231bb4340622c162d7b1a;park;;TRUE;;;/
;C;6400;bac07a9a07d31bd971ed4288f10499d6;head inside;leave;FALSE;maybe?;head inside;head
;C;11322;4f1511992b86c3d28f958bcbf4d56511;Because it was raining%2C the players in the park ;;TRUE;;;/
;C;13777;773048bc5ea832a6a6fb93f6da578bc6;leave the park;leave;FALSE;;leave;leave
;C;15415;bc3b5c51f98f643be9a99134572a2170;leave;;FALSE;;;/
;D;2080;2b7058890eefa22341aa295a036985a9;suffer;;FALSE;;;/
;D;3721;58538dcb3f84e420200c601a4903dbef;come inside;;FALSE;;head inside;come
;D;7806;61f3559549de508d322e493e3c8fe90c;The player in the park;;TRUE;;;/
;D;10265;64e64662aa8b1a57c3e5254b48652bcc;stop the training session;stop;FALSE;;stop;stop
;D;12732;8e6ad748c0685eaeffbadbae0050306d;shelter;;FALSE;;shelter;shelter
;D;14367;46c4212ded545ed717b0ff376752ae11;find shelter;shelter;FALSE;;shelter;shelter
;D;16008;9f8736428d68ef86c654e1f0f0b1058e;take shelter;shelter;FALSE;;shelter;shelter
14;A;3098;9a8edf1b84fcdd4e9692881d31a5a26e;prepare for the rain;prepare;FALSE;;prepare;prepare
;A;4731;559a558cc071b904f807f21b428370da;continue working regardless of the state of the weather.;continue;FALSE;;continue working;work
;A;8816;6df37ff0405e34325f86235ab8e45b66;go inside;;FALSE;;go inside;go
;A;9633;3028e7887ad94e66d4f5fe907c30cc88;when the rain started;;TRUE;;;/
;B;586;b8b10c5c32c46a8f278dc868ef65fd9d;mistaken;;TRUE;?;be mistaken;mistake
;B;5500;38515a2d399231bb4340622c162d7b1a;rain;;TRUE;;rain;rain
;B;6318;bac07a9a07d31bd971ed4288f10499d6;get the supplies put up quickly;;FALSE;?;;get
;B;11238;4f1511992b86c3d28f958bcbf4d56511;The gardener in the yard%2C once the rain started had to ;;TRUE;;;/
;B;13695;773048bc5ea832a6a6fb93f6da578bc6;stop;;FALSE;;;/
;B;15333;bc3b5c51f98f643be9a99134572a2170;take shelter;shelter;FALSE;;shelter;shelter
;C;2069;2b7058890eefa22341aa295a036985a9;plant;;FALSE;;;/
;C;3710;58538dcb3f84e420200c601a4903dbef;come inside;;FALSE;;go inside;come
;C;7795;61f3559549de508d322e493e3c8fe90c;When it started rain the gardener;;TRUE;;;/
;C;10254;64e64662aa8b1a57c3e5254b48652bcc;get ready;;FALSE;;get ready;prepare
;C;12721;8e6ad748c0685eaeffbadbae0050306d;rush;;FALSE;;;rush
;C;14356;46c4212ded545ed717b0ff376752ae11;stay in kitchen;;FALSE;;stay;stay
;C;15997;9f8736428d68ef86c654e1f0f0b1058e;wait for it stop;;FALSE;;wait;wait
;D;857;2817aa3ba5ce3496c4222adb7a6aa37c;get ready;;FALSE;;get ready;prepare
;D;6586;83d8403f227baca0464166c404dc0dc2;put his tools away;;FALSE;;;put away
;D;11510;14399e53229004f2c85ec3810d5cf776;To check the garden;check the garden;TRUE;;check the garden;/
15;A;90;b8b10c5c32c46a8f278dc868ef65fd9d;regroup;;FALSE;;;/
;A;5013;38515a2d399231bb4340622c162d7b1a;soldier;;FALSE;;;/
;A;5829;bac07a9a07d31bd971ed4288f10499d6;get to work;;FALSE;;;work
;A;10745;4f1511992b86c3d28f958bcbf4d56511;When the order was given%2C the soldier on the base had to;;TRUE;;;/
;A;13207;773048bc5ea832a6a6fb93f6da578bc6;leave;;FALSE;;;/
;A;14843;bc3b5c51f98f643be9a99134572a2170;listen closely;;FALSE;;;listen
;B;2401;2b7058890eefa22341aa295a036985a9;comply;;FALSE;;;/
;B;4037;58538dcb3f84e420200c601a4903dbef;meet the demands of the orders;comply;FALSE;maybe?;comply;fulfill
;B;8121;61f3559549de508d322e493e3c8fe90c;The solider on the base;;TRUE;;;/
